Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Intro Asian American Studies,AAS 100,2840,71%,22%,4%,1%,1%,0%,3.59,AAS,https://courses.illinois.edu/schedule/2018/fall/AAS/100
Intro Agric & Biological Engrg,ABE 100,357,67%,27%,3%,2%,1%,0%,3.57,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/100
ABE Principles: Machine Syst,ABE 223,453,65%,24%,8%,2%,0%,0%,3.51,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/223
ABE Principles: Soil & Water,ABE 224,465,74%,17%,5%,1%,2%,1%,3.63,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/224
Transport Processes in ABE,ABE 341,106,37%,43%,15%,5%,0%,0%,3.09,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/341
Project Management,ABE 430,2569,55%,40%,5%,0%,0%,0%,3.47,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/430
Renewable Energy Systems,ABE 436,419,42%,49%,7%,1%,0%,0%,3.31,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/436
Engineering Off-Road Vehicles,ABE 466,296,50%,38%,10%,1%,1%,0%,3.3,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/466
Bioprocessing Biomass for Fuel,ABE 488,200,62%,31%,6%,0%,0%,0%,3.54,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/488
Intro to Field Robotics,ABE 498,23,61%,39%,0%,0%,0%,0%,3.61,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/498
Fundamentals of Accounting,ACCY 200,3832,43%,35%,17%,5%,1%,0%,3.13,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/200
Accounting and Accountancy I,ACCY 201,7754,47%,34%,13%,3%,3%,1%,3.15,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/201
Accounting and Accountancy II,ACCY 202,5952,37%,49%,12%,1%,1%,0%,3.25,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/202
Atg Measurement & Disclosure,ACCY 301,4049,46%,46%,6%,1%,0%,0%,3.34,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/301
Decision Making for Atg,ACCY 302,3831,42%,52%,6%,0%,0%,0%,3.33,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/302
Atg Institutions and Reg,ACCY 303,3611,49%,41%,7%,2%,0%,0%,3.35,ACCY,https://courses.illinois.edu/schedule/2018/fall/ACCY/303
