Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Espiritu, Augusto F",AAS 100,32,59%,34%,3%,3%,0%,0%,3.57
"Espiritu, Augusto F",HIST 283,173,71%,24%,3%,1%,1%,0%,3.58
"Espiritu, Augusto F",HIST 380,50,66%,28%,4%,0%,2%,0%,3.49
"Espiritu, Augusto F",HIST 171,188,47%,41%,4%,4%,2%,1%,3.24
"Paik, Angela N",AAS 100,28,43%,29%,7%,11%,11%,0%,2.69
"Sharif, Lila A",AAS 100,26,73%,19%,4%,0%,4%,0%,3.56
"Sharif, Lila A",AAS 200,21,81%,14%,5%,0%,0%,0%,3.71
"Lee, Alexander J",AAS 100,132,76%,14%,7%,1%,2%,0%,3.59
"Lee, Alexander J",ANTH 103,330,56%,28%,9%,3%,5%,0%,3.19
"Lee, Alexander J",AAS 120,90,32%,44%,16%,6%,1%,1%,3.05
"Kang, Yoonjung",AAS 100,67,48%,22%,18%,7%,4%,0%,3
"Kang, Yoonjung",ANTH 103,116,51%,36%,8%,1%,4%,0%,3.2
"Kang, Yoonjung",ANTH 230,28,68%,29%,0%,0%,4%,0%,3.54
"Chung, Ga Young",AAS 100,168,80%,15%,4%,1%,0%,0%,3.75
"Green, Angela R",ABE 100,357,67%,27%,3%,2%,1%,0%,3.57
"Green, Angela R",TSM 372,46,37%,43%,11%,4%,2%,2%,3.09
"Grift, Tony E",ABE 223,453,65%,24%,8%,2%,0%,0%,3.51
"Grift, Tony E",ABE 425,223,70%,26%,4%,0%,0%,0%,3.68
"Grift, Tony E",TSM 363,114,68%,24%,4%,2%,2%,0%,3.55
"Grift, Tony E",ABE 221,63,52%,43%,5%,0%,0%,0%,3.56
"Bhattarai, Rabin",ABE 224,93,82%,16%,0%,0%,2%,0%,3.72
"Rausch, Kent D",ABE 341,53,47%,45%,4%,4%,0%,0%,3.29
"Rausch, Kent D",TSM 381,24,46%,54%,0%,0%,0%,0%,3.4
"Rausch, Kent D",TSM 486,78,55%,36%,6%,3%,0%,0%,3.42
"Rausch, Kent D",ABE 483,24,67%,25%,8%,0%,0%,0%,3.58
"Davidson, Paul C",ABE 430,374,94%,5%,0%,1%,1%,0%,3.9
"Davidson, Paul C",TSM 199,22,91%,0%,0%,5%,5%,0%,3.67
"Wang, Xinlei",ABE 436,419,42%,49%,7%,1%,0%,0%,3.31
"Wang, Xinlei",TSM 438,226,36%,45%,15%,3%,0%,1%,3.16
"Wang, Xinlei",TSM 372,215,27%,52%,18%,2%,0%,0%,3.05
"Wang, Xinlei",ENG 491,80,79%,21%,0%,0%,0%,0%,3.71
"Hansen, Alan C",ABE 466,296,50%,38%,10%,1%,1%,0%,3.3
"Hansen, Alan C",TSM 262,101,35%,45%,12%,7%,1%,1%,3.04
"Hansen, Alan C",TSM 464,169,38%,41%,15%,4%,1%,0%,3.05
"Hansen, Alan C",ABE 361,47,57%,23%,11%,2%,6%,0%,3.16
"Singh, Vijay",ABE 488,200,62%,31%,6%,0%,0%,0%,3.54
"Singh, Vijay",ABE 226,228,49%,36%,12%,2%,1%,0%,3.28
"Chowdhary, Girish",ABE 498,23,61%,39%,0%,0%,0%,0%,3.61
"Silhan, Peter A",ACCY 200,3632,40%,37%,18%,5%,1%,0%,3.09
"Silhan, Peter A",ACCY 432,22,77%,23%,0%,0%,0%,0%,3.7
"Arends, Alyssa M",ACCY 201,63,38%,30%,19%,5%,8%,0%,2.82
"Hennessy, Thomas J",ACCY 201,23,22%,35%,26%,9%,9%,0%,2.38
"Kiesewetter, Nathalie A",ACCY 201,58,45%,29%,16%,0%,7%,3%,3.05
"Leman, Grant W",ACCY 201,57,39%,30%,21%,7%,4%,0%,2.84
"Christiansen, Ryan S",ACCY 201,57,30%,33%,19%,5%,12%,0%,2.53
"Ye, Yina",ACCY 201,60,32%,30%,18%,5%,8%,7%,2.71
"Mammen, Gilbert G",ACCY 201,63,40%,35%,19%,3%,3%,0%,3.02
"Sylvestri, Ross J",ACCY 201,65,29%,32%,28%,8%,2%,2%,2.71
"McDermott, John P",ACCY 201,62,42%,11%,26%,13%,5%,3%,2.69
"Balkan, Alexander C",ACCY 202,74,35%,58%,4%,1%,0%,1%,3.35
"Ducker, Merik R",ACCY 202,88,34%,50%,11%,2%,0%,2%,3.25
"Wu, Tony Y",ACCY 202,90,29%,58%,13%,0%,0%,0%,3.2
"Anderson, Spencer B",ACCY 301,168,49%,40%,10%,1%,1%,0%,3.31
