Year,Term,TermYear,Course,Course.Title,ACP,CS,HUM,NAT,QR,SBS,Avg.GPA,Student.Enrollment
2018,Fall,2018-fa,AAS 100,Intro Asian American Studies,,US,,,,SS,3.59,2840
2018,Fall,2018-fa,AAS 105,Introduction to Arab American Studies,,US,,,,,NA,NA
2018,Fall,2018-fa,AAS 120,Intro to Asian Am Pop Culture,,US,,,,,3.23,619
2018,Fall,2018-fa,AAS 200,U.S. Race and Empire,,US,HP,,,,3.71,21
2018,Fall,2018-fa,AAS 201,US Racial & Ethnic Politics,,US,,,,SS,3.12,704
2018,Fall,2018-fa,AAS 211,Asian Americans and the Arts,,US,LA,,,,3.76,24
2018,Fall,2018-fa,AAS 215,US Citizenship Comparatively,,US,HP,,,,3.02,87
2018,Fall,2018-fa,AAS 224,Asian Am Historical Sociology,,US,,,,,NA,NA
2018,Fall,2018-fa,AAS 246,Asian American Youth in Film,,US,,,,SS,3.72,123
2018,Fall,2018-fa,AAS 258,Muslims in America,,US,,,,SS,3.81,124
2018,Fall,2018-fa,AAS 260,Intro Asian American Theatre,,US,,,,,NA,NA
2018,Fall,2018-fa,AAS 281,Constructing Race in America,,US,HP,,,,3.1,204
2018,Fall,2018-fa,AAS 283,Asian American History,,US,HP,,,,3.56,207
2018,Fall,2018-fa,AAS 286,Asian American Literature,,US,LA,,,,3.36,246
2018,Fall,2018-fa,AAS 287,Food and Asian Americans,,US,,,,SS,3.82,154
2018,Fall,2018-fa,AAS 288,Global Islam and Feminisms,,NW,,,,,NA,NA
2018,Fall,2018-fa,AAS 297,Asian Families in America,,US,,,,SS,3.69,286
2018,Fall,2018-fa,AAS 300,"Theories of Race, Gender, and Sexuality",ACP,,,,,,NA,NA
2018,Fall,2018-fa,AAS 310,Race and Cultural Diversity,ACP,US,,,,,3.2,389
2018,Fall,2018-fa,AAS 402,Asian American Education,ACP,US,,,,,3.62,386
2018,Fall,2018-fa,ABE 469,Industry-Linked Design Project,ACP,,,,,,3.59,262
2018,Fall,2018-fa,ACE 100,Agr Cons and Resource Econ,,,,,,SS,2.78,2544
2018,Fall,2018-fa,ACE 210,Environmental Economics,,,,,,SS,3.18,1337
2018,Fall,2018-fa,ACE 251,The World Food Economy,,NW,,,,SS,3.21,2122
2018,Fall,2018-fa,ACE 254,Economic Systems in Africa,,NW,,,,SS,2.93,298
2018,Fall,2018-fa,ACE 255,Economics of Food and Environmental Justice,,US,,,,SS,NA,NA
